2025-08-05 09:47:23 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 09:48:44 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 09:53:06 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 09:58:51 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:09:50 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:23:17 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:31:44 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:47:15 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 10:52:42 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 11:03:19 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 11:06:45 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 11:34:04 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:15:52 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:33:10 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:35:52 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:36:29 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:39:18 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:46:19 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:46:39 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:47:12 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:50:24 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 14:51:24 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-08-05 15:04:18 DEBUG [CalendarApplicationTests] - Running with Spring Boot v3.5.3, Spring v6.2.8
